pc_time,timestamp_ms,elapsed_s,phase,direction_deg,target_speed_mps,stm32_cmd_speed_mps,actual_speed_mps,speed_error_mps,status_transport_delay_s,test_mode,test_state,fault,flags,vesc_online,imu_online,rc_online,control_valid,target_vx,target_vy,target_wz,actual_vx,actual_vy,actual_wz,vx_error,lf_target_rpm,lf_feedback_rpm,rf_target_rpm,rf_feedback_rpm,lb_target_rpm,lb_feedback_rpm,rb_target_rpm,rb_feedback_rpm,gyro_z,yaw,odom_x,odom_y,odom_yaw
2026-08-03T14:53:09.148,2623,0.0,step,0.0,0.5,,0.013597912155091763,0.48640209436416626,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.013597912155091763,-0.0038040305953472853,-0.027146803215146065,0.48640209436416626,-900,-478,-1000,-511,900,464,900,384,-0.03302319720387459,0.0007281085127033293,-0.0004884678637608886,0.001683655078522861,0.041717544198036194
2026-08-03T14:53:09.179,2643,0.02,step,0.0,0.5,,0.021173199638724327,0.4788267910480499,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.021173199638724327,-0.0023820523638278246,-0.005358379799872637,0.4788267910480499,-913,-618,-913,-511,913,562,913,526,0.017044231295585632,0.0007414243300445378,-0.00032685071346350014,0.0021896467078477144,0.042480483651161194
2026-08-03T14:53:09.197,2663,0.04,step,0.0,0.5,,0.02730826660990715,0.47269174456596375,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.02730826660990715,-0.0018398045795038342,0.004602446220815182,0.47269174456596375,-940,-612,-940,-511,940,659,940,619,0.004261057823896408,0.0010290456702932715,-0.00014401701628230512,0.0027726583648473024,0.058959975838661194
2026-08-03T14:53:09.215,2683,0.06,step,0.0,0.5,,0.03259526193141937,0.46740472316741943,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.03259526193141937,-0.0018508917419239879,-0.0023741915356367826,0.46740472316741943,-967,-724,-967,-511,967,735,967,679,-0.007456851191818714,0.000914529780857265,5.592747402261011e-05,0.0034323609434068203,0.052398696541786194
2026-08-03T14:53:09.230,2703,0.08,step,0.0,0.5,,0.03685374930500984,0.46314623951911926,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.03685374930500984,-0.002087665256112814,-0.0017752520507201552,0.46314623951911926,-994,-751,-994,-511,994,803,994,726,0.001065264455974102,0.0008452875772491097,0.0002693645656108856,0.004144161008298397,0.048431411385536194
2026-08-03T14:53:09.251,2723,0.1,step,0.0,0.5,,0.040989626199007034,0.45901036262512207,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.040989626199007034,-0.002291535958647728,-0.003244576044380665,0.45901036262512207,-1088,-810,-1087,-802,1090,825,1089,789,-0.001065264455974102,0.0007600664393976331,-0.0007787399226799607,0.006196144036948681,0.043548598885536194
2026-08-03T14:53:09.265,2743,0.12,step,0.0,0.5,,0.04592723771929741,0.4540727734565735,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.04592723771929741,-0.0013789330841973424,-0.0012369394535198808,0.4540727734565735,-1197,-914,-1196,-802,1201,888,1199,887,-0.01065264455974102,0.0008213191176764667,-0.0005267320084385574,0.007016420364379883,0.047058120369911194
2026-08-03T14:53:09.284,2763,0.14,step,0.0,0.5,,0.05061022564768791,0.449389785528183,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.05061022564768791,-0.0017180456779897213,0.0030692294239997864,0.449389785528183,-1388,-1006,-1389,-802,1405,993,1387,968,0.006391586735844612,0.0008745823288336396,-0.00022457321756519377,0.00792162586003542,0.050109878182411194
2026-08-03T14:53:09.318,2783,0.16,step,0.0,0.5,,0.05602777376770973,0.44397222995758057,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.05602777376770973,-0.0030497026164084673,-0.00787343829870224,0.44397222995758057,-1488,-1145,-1515,-802,1514,1103,1508,1086,-0.01810949482023716,0.0006535399588756263,0.00013773873797617853,0.00896032340824604,0.037445083260536194
2026-08-03T14:53:09.335,2803,0.18,step,0.0,0.5,,0.061656199395656586,0.4383437931537628,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.061656199395656586,-0.004928152542561293,-0.006315079052001238,0.4383437931537628,-1597,-1316,-1632,-802,1634,1199,1617,1235,0.007456851191818714,0.00043516079313121736,0.0005542541621252894,0.010117006488144398,0.024932876229286194
