pc_elapsed_s,stm32_us,status,status_name,last_cmd_id,in_task,target_yaw_deg,yaw_total_deg,raw_imu_yaw_total_deg,angle_error_deg,gyro_z_dps,cmd_wz_erpm,lf_ref,lf_fdb,rf_ref,rf_fdb,lb_ref,lb_fdb,rb_ref,rb_fdb,lf_online,rf_online,lb_online,rb_online,imu_online,imu_state,imu_valid_count,imu_gyro_count,imu_yaw_count,imu_error_count,imu_hal_error_count,imu_config_attempt_count,imu_config_tx_count,imu_config_tx_error_count
0.0,30920350,0,IDLE,6,0.0,-19.87487791478634,0.1251220852136612,-0.025999069213867188,-20.0,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,37182,6198,6196,0,0,0,0,0
0.03099999999994907,30920350,0,IDLE,6,0.0,-19.87487791478634,0.1251220852136612,-0.025999069213867188,-20.0,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,37182,6198,6196,0,0,0,0,0
0.047000000000025466,30980493,0,IDLE,6,0.0,-19.87487791478634,0.1251220852136612,-0.02899932861328125,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,37254,6210,6208,0,0,0,0,0
0.06300000000010186,30980493,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.02899932861328125,-20.007476806640625,0.0,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37254,6210,6208,0,0,0,0,0
0.09400000000005093,31000700,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.030000686645507812,-20.007476806640625,0.0,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37278,6214,6212,0,0,0,0,0
0.1089999999999236,31040487,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.03199958801269531,-20.007476806640625,0.0,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37326,6222,6220,0,0,0,0,0
0.125,31060490,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.03199958801269531,-20.007476806640625,0.06103515625,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37350,6226,6224,0,0,0,0,0
0.1410000000000764,31060490,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.03199958801269531,-20.007476806640625,0.06103515625,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37350,6226,6224,0,0,0,0,0
0.17200000000002547,31100489,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.03199958801269531,-20.007476806640625,0.06103515625,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37398,6234,6232,0,0,0,0,0
0.18800000000010186,31120490,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.03199958801269531,-20.007476806640625,0.06103515625,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37422,6238,6236,0,0,0,0,0
0.20299999999997453,31140488,1,EXEC,4,3.0,-19.87487791478634,0.1325988918542862,-0.4090003967285156,-20.007476806640625,-24.2919921875,0.0,-296.79998779296875,0.0,296.79998779296875,0.0,296.79998779296875,0.0,-296.79998779296875,0.0,1,1,1,1,1,2,37446,6242,6240,0,0,0,0,0
