pc_time,stm32_us,roll_deg,pitch_deg,yaw_deg,yaw_total_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_g,acc_y_g,acc_z_g,state,rx_count,valid_count,last_error,last_std_id,last_ext_id,last_ide,last_rtr,last_dlc,last_type,error_count,hal_error_count,acc_count,gyro_count,angle_count,yaw_count,config_attempt_count,config_done,config_tx_count,config_tx_error_count,last_config_status
2026-05-25T20:35:35.868,374662551,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.1220703125,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445624,445614,8,80,0,0,0,8,83,10,1,74269,74269,222807,74269,1,1,5,0,0
2026-05-25T20:35:35.873,374667548,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.1220703125,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445630,445620,8,80,0,0,0,8,83,10,1,74270,74270,222810,74270,1,1,5,0,0
2026-05-25T20:35:35.878,374672545,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445636,445626,8,80,0,0,0,8,83,10,1,74271,74271,222813,74271,1,1,5,0,0
2026-05-25T20:35:35.883,374677546,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445642,445632,8,80,0,0,0,8,83,10,1,74272,74272,222816,74272,1,1,5,0,0
2026-05-25T20:35:35.888,374682546,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445648,445638,8,80,0,0,0,8,83,10,1,74273,74273,222819,74273,1,1,5,0,0
2026-05-25T20:35:35.893,374687549,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445654,445644,8,80,0,0,0,8,83,10,1,74274,74274,222822,74274,1,1,5,0,0
2026-05-25T20:35:35.898,374692546,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445660,445650,8,80,0,0,0,8,83,10,1,74275,74275,222825,74275,1,1,5,0,0
2026-05-25T20:35:35.903,374697548,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445666,445656,8,80,0,0,0,8,83,10,1,74276,74276,222828,74276,1,1,5,0,0
2026-05-25T20:35:35.908,374702549,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445672,445662,8,80,0,0,0,8,83,10,1,74277,74277,222831,74277,1,1,5,0,0
2026-05-25T20:35:35.913,374707546,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445678,445668,8,80,0,0,0,8,83,10,1,74278,74278,222834,74278,1,1,5,0,0
